Acinonyx_jubatus	GCA_001443585.1_aciJub1
Acomys_cahirinus	GCA_004027535.1_AcoCah_v1_BIUU
Ailuropoda_melanoleuca	GCA_002007445.1_ASM200744v1
Ailurus_fulgens	GCA_002007465.1_ASM200746v1
Allactaga_bullata	GCA_004027895.1_AllBul_v1_BIUU
Alouatta_palliata_mexicana	GCA_004027835.1_AloPal_v1_BIUU
Ammotragus_lervia	GCA_002201775.1_ALER1.0
Anoura_caudifer	GCA_004027475.1_AnoCau_v1_BIUU
Antilocapra_americana	GCA_004027515.1_AntAmePen_v1_BIUU
Aotus_nancymaae	GCA_000952055.2_Anan_2.0
Aplodontia_rufa	GCA_004027875.1_AplRuf_v1_BIUU
Artibeus_jamaicensis	GCA_004027435.1_ArtJam_v1_BIUU
Ateles_geoffroyi	GCA_004024785.1_AteGeo_v1_BIUU
Balaenoptera_acutorostrata	GCA_000493695.1_BalAcu1.0
Balaenoptera_bonaerensis	GCA_000978805.1_ASM97880v1
Beatragus_hunteri	GCA_004027495.1_BeaHun_v1_BIUU
Bison_bison	GCA_000754665.1_Bison_UMD1.0
Bos_indicus	GCA_000247795.2_Bos_indicus_1.0
Bos_mutus	bosMut1
Bos_taurus	GCA_000003205.6_Btau_5.0.1
Bubalus_bubalis	GCA_000471725.1_UMD_CASPUR_WB_2.0
Callicebus_donacophilus	GCA_004027715.1_CalDon_v1_BIUU
Callithrix_jacchus	GCA_002754865.1_ASM275486v1
Camelus_bactrianus	GCA_000767855.1_Ca_bactrianus_MBC_1.0
Camelus_dromedarius	GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0
Camelus_ferus	GCA_000311805.2_CB1
Canis_lupus	GCA_004027395.1_CanFam_VD_v1_BIUU
Canis_lupus_familiaris	GCA_000002285.2_CanFam3.1
Capra_aegagrus	GCA_000978405.1_CapAeg_1.0
Capra_hircus	GCA_001704415.1_ARS1
Capromys_pilorides	GCA_004027915.1_CapPil_v1_BIUU
Carollia_perspicillata	GCA_004027735.1_CarPer_v1_BIUU
Castor_canadensis	GCA_004027675.1_CasCan_v1_BIUU
Catagonus_wagneri	GCA_004024745.1_CatWag_v1_BIUU
Cavia_aperea	cavApe1
Cavia_porcellus	GCA_000151735.1_Cavpor3.0
Cavia_tschudii	GCA_004027695.1_CavTsc_v1_BIUU
Cebus_albifrons	GCA_004027755.1_CebAlb_v1_BIUU
Cebus_capucinus	GCF_001604975.1_Cebus_imitator-1.0
Ceratotherium_simum	GCA_000283155.1_CerSimSim1.0
Ceratotherium_simum_cottoni	GCA_004027795.1_CerCot_v1_BIUU
Cercocebus_atys	GCF_000955945.1_Caty_1.0
Cercopithecus_neglectus	GCA_004027615.1_CertNeg_v1_BIUU
