Species	Hub_Species	Common Name	Source	Accession
Chrysochloris_asiatica	Chrysochloris_asiatica	Cape golden mole	1. Zoonomia	GCA_004027935.1
Echinops_telfairi	Echinops_telfairi	Small madagascar hedgehog	2. Existing assembly	GCF_000313985.1
Microgale_talazaci	Microgale_talazaci	Talazac's shrew tenrec	1. Zoonomia	GCA_004026705.1
Ailurus_fulgens	Ailurus_fulgens	Lesser panda	2. Existing assembly	GCA_002007465.1
Canis_lupus_familiaris	Canis_lupus	Domestic dog (village dog)	1. Zoonomia	GCA_004027395.1
Canis_lupus_familiaris	Canis_lupus_familiaris	Domestic dog	2. Existing assembly	GCF_000002285.3
Lycaon_pictus	Lycaon_pictus	African hunting dog	2. Existing assembly	GCA_001887905.1
Vulpes_lagopus	Vulpes_lagopus	Arctic fox	1. Zoonomia	GCA_004023825.1
Cryptoprocta_ferox	Cryptoprocta_ferox	Fossa	1. Zoonomia	GCA_004023885.1
Acinonyx_jubatus	Acinonyx_jubatus	Cheetah	2. Existing assembly	GCF_001443585.1
Felis_catus	Felis_catus	Domestic cat	2. Existing assembly	GCF_000181335.2
Felis_nigripes	Felis_nigripes	Black-footed cat	1. Zoonomia	GCA_004023925.1
Panthera_onca	Panthera_onca	Jaguar	1. Zoonomia	GCA_004023805.1
Panthera_pardus	Panthera_pardus	Leopard	2. Existing assembly	GCA_001857705.1
Panthera_tigris	Panthera_tigris	Amur tiger	2. Existing assembly	GCF_000464555.1
Puma_concolor	Puma_concolor	Puma	2. Existing assembly	GCF_003327715.1
Helogale_parvula	Helogale_parvula	Dwarf mongoose	1. Zoonomia	GCA_004023845.1
Mungos_mungo	Mungos_mungo	South African banded mongoose	1. Zoonomia	GCA_004023785.1
Suricata_suricatta	Suricata_suricatta	Meerkat	1. Zoonomia	GCA_004023905.1
Hyaena_hyaena	Hyaena_hyaena	Striped hyena	1. Zoonomia	GCA_004023945.1
Spilogale_gracilis	Spilogale_gracilis	Western spotted skunk	1. Zoonomia	GCA_004023965.1
Enhydra_lutris	Enhydra_lutris	Sea otter	2. Existing assembly	GCF_002288905.1
Mellivora_capensis	Mellivora_capensis	Honey badger	1. Zoonomia	GCA_004024625.1
Mustela_putorius	Mustela_putorius	Domestic ferret	2. Existing assembly	GCF_000239315.1
Pteronura_brasiliensis	Pteronura_brasiliensis	Giant otter	1. Zoonomia	GCA_004024605.1
Odobenus_rosmarus	Odobenus_rosmarus	Pacific walrus	2. Existing assembly	GCF_000321225.1
Zalophus_californianus	Zalophus_californianus	California sea lion	1. Zoonomia	GCA_004024565.1
Leptonychotes_weddellii	Leptonychotes_weddellii	Weddell seal	2. Existing assembly	GCF_000349705.1
Mirounga_angustirostris	Mirounga_angustirostris	Northern elephant seal	1. Zoonomia	GCA_004023865.1
Neomonachus_schauinslandi	Neomonachus_schauinslandi	Hawaiian monk seal	2. Existing assembly	GCA_002201575.1
Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	Giant panda	2. Existing assembly	GCA_002007445.1
Ursus_maritimus	Ursus_maritimus	Polar bear	2. Existing assembly	GCF_000687225.1
Paradoxurus_hermaphroditus	Paradoxurus_hermaphroditus	Asian palm civet	1. Zoonomia	GCA_004024585.1
Antilocapra_americana	Antilocapra_americana	Pronghorn	1. Zoonomia	GCA_004027515.1
Eubalaena_japonica	Eubalaena_japonica	North Pacific right whale	1. Zoonomia	GCA_004363455.1
Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	Minke whale	2. Existing assembly	GCF_000493695.1
Balaenoptera_bonaerensis	Balaenoptera_bonaerensis	Antarctic minke whale	2. Existing assembly	GCA_000978805.1
Ammotragus_lervia	Ammotragus_lervia	Aoudad	2. Existing assembly	GCA_002201775.1
Beatragus_hunteri	Beatragus_hunteri	Hirola	1. Zoonomia	GCA_004027495.1
Bison_bison	Bison_bison	American bison	2. Existing assembly	GCF_000754665.1
Bos_indicus	Bos_indicus	Zebu cattle	2. Existing assembly	GCA_000247795.2
Bos_mutus	Bos_mutus	Wild yak	2. Existing assembly	GCF_000298355.1
Bos_taurus	Bos_taurus	Cattle	2. Existing assembly	GCF_000003205.7
Bubalus_bubalis	Bubalus_bubalis	Water buffalo	2. Existing assembly	GCF_000471725.1
Capra_aegagrus	Capra_aegagrus	Wild goat	2. Existing assembly	GCA_000978405.1
Capra_hircus	Capra_hircus	Goat	2. Existing assembly	GCF_001704415.1
Hemitragus_hylocrius	Hemitragus_hylocrius	Nilgiri tahr	1. Zoonomia	GCA_004026825.1
Ovis_aries	Ovis_aries	Sheep	2. Existing assembly	GCF_000298735.2
Ovis_canadensis_cremnobates	Ovis_canadensis	Peninsular bighorn sheep	1. Zoonomia	GCA_004026945.1
Pantholops_hodgsonii	Pantholops_hodgsonii	Chiru	2. Existing assembly	GCF_000400835.1
Saiga_tatarica_tatarica	Saiga_tatarica	Russian saiga	1. Zoonomia	GCA_004024985.1
Camelus_bactrianus	Camelus_bactrianus	Bactrian camel	2. Existing assembly	GCF_000767855.1
Camelus_dromedarius	Camelus_dromedarius	Arabian camel	2. Existing assembly	GCF_000767585.1
Camelus_ferus	Camelus_ferus	Wild bactrian camel	2. Existing assembly	GCF_000311805.1
Vicugna_pacos	Vicugna_pacos	Alpaca	2. Existing assembly	GCA_000767525.1
Elaphurus_davidianus	Elaphurus_davidianus	Pere david's deer	2. Existing assembly	GCA_002443075.1
Odocoileus_virginianus	Odocoileus_virginianus	White-tailed deer	2. Existing assembly	GCA_002102435.1
Rangifer_tarandus	Rangifer_tarandus	Siberian reindeer	1. Zoonomia	GCA_004026565.1
Orcinus_orca	Orcinus_orca	Killer whale	2. Existing assembly	GCF_000331955.2
Tursiops_truncatus	Tursiops_truncatus	Bottlenose dolphin	2. Existing assembly	GCA_001922835.1
Eschrichtius_robustus	Eschrichtius_robustus	Grey whale	1. Zoonomia	GCA_004363415.1
Giraffa_tippelskirchi	Giraffa_tippelskirchi	Giraffe	2. Existing assembly	GCA_001651235.1
Okapia_johnstoni	Okapia_johnstoni	Okapi	2. Existing assembly	GCA_001660835.1
Hippopotamus_amphibius	Hippopotamus_amphibius	Hippopotamus	1. Zoonomia	GCA_004027065.1
Inia_geoffrensis	Inia_geoffrensis	Amazon river dolphin	1. Zoonomia	GCA_004363515.1
Lipotes_vexillifer	Lipotes_vexillifer	Yangtze river dolphin	2. Existing assembly	GCF_000442215.1
Delphinapterus_leucas	Delphinapterus_leucas	Beluga whale	2. Existing assembly	GCF_002288925.1
Monodon_monoceros	Monodon_monoceros	Narwhal	1. Zoonomia	GCA_004026685.1
Moschus_moschiferus	Moschus_moschiferus	Siberian musk deer	1. Zoonomia	GCA_004024705.1
Neophocaena_asiaeorientalis	Neophocaena_asiaeorientalis	Yangtze finless porpoise	2. Existing assembly	GCA_003031525.1
Phocoena_phocoena	Phocoena_phocoena	Harbor porpoise	1. Zoonomia	GCA_004363495.1
Kogia_breviceps	Kogia_breviceps	Pygmy sperm whale	1. Zoonomia	GCA_004363705.1
Platanista_gangetica_minor	Platanista_gangetica	Indus river dolphin	1. Zoonomia	GCA_004363435.1
Sus_scrofa	Sus_scrofa	Pig	2. Existing assembly	GCF_000003025.5
Catagonus_wagneri	Catagonus_wagneri	Chacoan peccary	1. Zoonomia	GCA_004024745.1
Tragulus_javanicus	Tragulus_javanicus	Java lesser chevrotain	1. Zoonomia	GCA_004024965.1
Mesoplodon_bidens	Mesoplodon_bidens	Sowerby's beaked whale	1. Zoonomia	GCA_004027085.1
Ziphius_cavirostris	Ziphius_cavirostris	Cuvier's beaked whale	1. Zoonomia	GCA_004364475.1
